,Date,Open,High,Low,Close,Volume,Name,Acc/Dist_ROC_1,ADX_14_50,ATR_14,BollingerB_5,Bollinger%b_5,BollingerB_20,Bollinger%b_20,Copp_10,Chaikin,EMA_5,EMA_20,Force_2,KST_10_10_10_15_10_15_20_30,MA_5,MA_20,MACD_12_26,MACDsign_12_26,MACDdiff_12_26,MFI_14,Momentum_1,Mass Index,OBV_5,OBV_20,PP,R1,R2,R3,S1,S2,S3,ROC_5,ROC_20,RSI_6,RSI_12,STD_5,STD_20,SO%d_5,SO%d_20,SO%k,Trix_5,Trix_20,TSI_25_13
0,2012-08-13,323.39,329.74,323.02,329.67,,GOOG,,,,,,,,,,,,,,,,,,,,,,,,327.4766666666667,331.9333333333334,334.1966666666667,338.6533333333334,325.21333333333337,320.75666666666666,318.49333333333334,,,,,,,,,0.9895833333333344,0.0,0.0,
1,2012-08-14,329.3,336.09,329.17,334.0,,GOOG,,,,,,,,,,,,,,,,,,,,4.329999999999984,,,,333.08666666666664,337.0033333333333,340.0066666666666,343.92333333333323,330.0833333333333,326.1666666666667,323.16333333333336,,,,,,,,,0.6979768786127186,,,
2,2012-08-15,334.8,336.79,331.72,333.44,,GOOG,,,,,,,,,,,,,,,,,,,,-0.5600000000000023,,,,333.98333333333335,336.24666666666667,339.0533333333333,341.31666666666666,331.1766666666667,328.91333333333336,326.1066666666667,,,,,,,,,0.33925049309664157,,,
3,2012-08-16,333.42,336.98,333.21,336.1,,GOOG,,,,,,,,,,334.1843076923077,,,,,,,,,,2.660000000000025,,,,335.43,337.65000000000003,339.2000000000001,341.4200000000001,333.88,331.65999999999997,330.10999999999996,,,,,,,0.6630232433516067,,0.7665782493368736,,,
4,2012-08-17,336.72,338.29,335.51,338.23,,GOOG,,,,0.03828597995486563,0.8080037934407552,,,,,335.7373933649289,,,,334.288,,,,,,2.1299999999999955,,,,337.3433333333333,339.1766666666666,340.12333333333333,341.95666666666665,336.3966666666666,334.5633333333333,333.61666666666656,0.025965359298692637,,1.0,,3.1996359167880306,,0.7840986739187673,,0.9784172661870497,,,
5,2012-08-20,337.41,339.1,335.99,337.43,,GOOG,,,,0.024879267833096207,0.6902948818198248,,,,,336.3558947368422,,,,335.84000000000003,,,,,,-0.8000000000000114,,,,337.50666666666666,339.0233333333333,340.6166666666667,342.1333333333333,335.9133333333333,334.39666666666665,332.8033333333333,0.010269461077844332,,1.0,,2.0888633272667576,,0.666773097514429,,0.46302250803858247,,,
6,2012-08-21,336.22,338.66,330.75,334.42,,GOOG,,,,0.02385128977375136,0.312286747619144,,,,,335.6704808159301,,,,335.92400000000004,,,,,,-3.009999999999991,,,,334.61000000000007,338.47000000000014,342.5200000000001,346.38000000000017,330.5600000000001,326.70000000000005,322.6500000000001,0.0029390595009597476,,0.3383069871832345,,2.003055166489413,,0.5949694516062534,,0.4639696586599247,,,
7,2012-08-22,333.36,339.96,333.02,338.25,,GOOG,,,,0.01938477072548046,0.708867437325585,,,,,336.5652323552736,,,,336.886,,,,,,3.829999999999984,,,,337.07666666666665,341.1333333333333,344.01666666666665,348.0733333333333,334.1933333333333,330.13666666666666,327.25333333333333,0.006396905682832422,,0.46196150746385756,,1.6326144676560528,,0.6499940434241849,,0.7536023054755072,,,
8,2012-08-23,336.8,339.9,335.16,338.06,,GOOG,,,,0.019355120619505076,0.619790632219046,,,,,337.07679515935536,,,,337.27799999999996,,,,,,-0.18999999999999773,,,,337.70666666666665,340.2533333333333,342.44666666666654,344.9933333333332,335.5133333333333,332.9666666666667,330.77333333333337,-0.0005026165626940718,,0.4619615074638575,,1.632014093076358,,0.6369275891518238,,0.6118143459915626,,,
9,2012-08-24,337.46,339.88,336.7,338.98,,GOOG,,,,0.020982488399312486,0.719206590638772,,,,,337.7223924170617,,,,337.428,,,,,,0.9200000000000159,,,,338.52,340.34,341.7,343.52,337.15999999999997,335.34,333.97999999999996,0.004593545327919899,,0.46196150746385756,,1.7700197739008035,,0.6640830201792484,,0.7169811320754794,,,
